feature,importance
num__Age,0.21
num__NumOfProducts,0.20
num__IsActiveMember,0.09
num__Balance,0.06
num__CreditScore,0.03
num__HasCrCard,0.02
num__Tenure,0.01
num__EstimatedSalary,0.01
